SiteID.Flow,SiteId.Eco,SiteId.QW,Date,Depth.M,Q.M3.S,BaseFlow.Frac,TSITE_NO,SHORT_NAME,region
3336890,3336890,3336890,20130618,0.345740899,0.563579722,0.201880852,T03336890,IL_Spoon,MSQA
3336890,3336890,3336890,20130626,0.970825376,3.313508921,0.03584861,T03336890,IL_Spoon,MSQA
3336890,3336890,3336890,20130702,0.35367137,0.597564429,0.2166585,T03336890,IL_Spoon,MSQA
3336890,3336890,3336890,20130717,0.237662451,0.282922685,0.48148495,T03336890,IL_Spoon,MSQA
3336890,3336890,3336890,20130723,0.1875,0.181818182,0.734699678,T03336890,IL_Spoon,MSQA
3336890,3336890,3336890,20130729,0.181863513,0.184933447,0.702805293,T03336890,IL_Spoon,MSQA
3336890,3336890,3336890,20130805,0.153485298,0.138487681,0.913137164,T03336890,IL_Spoon,MSQA
3340900,3340900,3340900,20130509,1.238197157,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130517,1.128104856,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130531,0.855217506,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130607,0.84811303,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130613,0.918624175,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130620,0.563143648,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130627,0.286965515,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130711,0.29802488,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130718,0.286965515,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130725,0.289733962,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130801,0.2925,NA,NA,T03340900,IN_Raccoon,MSQA
3340900,3340900,3340900,20130808,0.2925,NA,NA,T03340900,IN_Raccoon,MSQA
3351072,3351072,3351072,20130510,0.422227192,2.007929765,0.088005305,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130513,0.288361296,0.373831776,0.544570279,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130520,0.250649222,0.187199094,0.545916734,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130603,0.346972928,0.838289436,0.328500591,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130610,0.399036325,1.260266214,0.142063919,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130617,0.285874262,0.351175304,0.687078219,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130624,0.389679668,1.34806004,0.13456582,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130701,0.280888852,0.314358539,0.470543644,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130715,0.212013563,0.075615973,0.909110357,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130722,0.206787713,0.073916737,0.493014289,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130729,0.180380689,0.02548853,0.673263945,T03351072,IN_Williams,MSQA
3351072,3351072,3351072,20130805,0.219818691,0.090059473,0.637970719,T03351072,IN_Williams,MSQA
3352875,3352875,3352875,20130510,0.719419864,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130513,0.686129855,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130520,0.635845537,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130603,0.746918169,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130610,0.692263883,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130617,0.611221636,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130624,0.661499809,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130701,0.596743329,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130715,0.540079566,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130722,0.543109532,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130729,0.49200192,NA,NA,T03352875,IN_Fall,MSQA
3352875,3352875,3352875,20130805,0.529894404,NA,NA,T03352875,IN_Fall,MSQA
3353200,3353200,3353200,20130507,0.396847897,1.954120646,0.624436861,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130514,0.394097052,1.962616822,0.632086543,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130521,0.347046976,1.353724157,0.567275749,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130604,0.524130441,4.191447182,0.354929337,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130611,0.89763801,12.88586803,0.09251952,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130618,0.451483656,2.5913339,0.660903982,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130625,0.553376438,4.276408949,0.333955439,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130709,0.335896621,0.991220617,1,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130715,0.274008491,0.481450014,1,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130723,0.271172356,0.424808836,1,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130730,0.214014676,0.15094874,1,T03353200,IN_Eagle,MSQA
3353200,3353200,3353200,20130806,0.236978185,0.217218918,1,T03353200,IN_Eagle,MSQA
3383782,3383782,3383782,20130508,0.292347448,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130515,0.190784764,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130522,0.207628181,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130605,0.173488228,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130612,0.197345736,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130619,0.160694033,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130626,0.199924873,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130710,0.17313546,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130716,0.1475,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130723,0.177008204,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130730,0.170308134,NA,NA,T03383782,KY_Richland,MSQA
3383782,3383782,3383782,20130806,NA,NA,NA,T03383782,KY_Richland,MSQA
3384450,3384450,3384450,20130507,0.475416169,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130514,0.32984887,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130521,0.297904632,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130604,0.351730669,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130611,0.319068616,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130618,0.294004714,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130625,0.277405944,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130709,0.283728243,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130716,0.268702166,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130723,0.263814402,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130730,0.260193612,NA,NA,T03384450,IL_Lusk,MSQA
3384450,3384450,3384450,20130806,0.271170235,NA,NA,T03384450,IL_Lusk,MSQA
3611200,3611200,3611100,20130508,0.358567458,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130514,0.32875656,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130522,0.407117092,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130604,0.357644342,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130611,0.308639104,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130619,0.395855932,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130625,0.300955406,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130709,0.317065645,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130716,0.313605332,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130723,0.315126733,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130730,0.314711626,NA,NA,T03611200,IL_Massac.ECO,MSQA
3611200,3611200,3611100,20130806,NA,NA,NA,T03611200,IL_Massac.ECO,MSQA
