Study region	USGS station number	USGS station name	Short name	Chemical name	NWIS parameter code	CASRN	Pesticide degradate	Parent	Sample date (YYYYMMDD)	Result (ug/L)	Remark
MSQA	T05572000	SANGAMON RIVER AT MONTICELLO, IL	IL_Sangamon	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130703	31.8877	DET
MSQA	T394254094092301	Brushy Creek near Cameron, MO	MO_Brushy	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130703	12.8523	DET
MSQA	T394340085524601	SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN	IN_Sugar	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	11.5288	DET
MSQA	T05457520	Cedar River at Lancer Avenue at Osage, IA	IA_Cedar	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130702	9.7825	DET
MSQA	T05457200	CEDAR RIVER AT 100TH ST. NEAR LYLE, MN	MN_Cedar	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130702	8.2116	DET
MSQA	T0531656290	WEST FORK BEAVER CREEK AT 320 ST. NEAR BECHYN, MN	MN_WBeaver	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	4.7768	DET
MSQA	T040852508	TISCH MILLS CREEK AT TISCH MILLS, WI	WI_Tisch	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	5.8545	DET
MSQA	T424048097483601	Howe Creek near Lindy, Nebr.	NE_Howe	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	2.5022	DET
MSQA	T05315295	THREEMILE CREEK AT 210TH AVE NEAR GHENT, MN	MN_Threemile	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	2.6969	DET
MSQA	T401143096134301	Turkey Creek near Steinauer, Nebr.	NE_Turkey	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130628	184.9405	DET
MSQA	T394253085111101	LICK CR AT N CORD 250W NEAR HARRISBURG, IN	IN_Lick	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	4.3398	DET
MSQA	T403242084553201	LIMBERLOST CREEK AT CORD N 250 E NEAR BRYANT, IN	IN_Limberlost	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130710	213.2655	DET
MSQA	T413012096210001	Bell Creek near Arlington, Nebr.	NE_Bell	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	3.0403	DET
MSQA	T05599100	GALUM CREEK NEAR PYATTS, IL	IL_Galum	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	171.8026	DET
MSQA	T05299770	FLORIDA CREEK AT 171ST AVE NEAR MARIETTA, MN	MN_Florida	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	9.926	DET
MSQA	T06800000	Maple Creek near Nickerson, Nebr.	NE_Maple	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130708	25.1176	DET
MSQA	T05320500	LE SUEUR RIVER NEAR RAPIDAN, MN	MN_LeSueur	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	13.281	DET
MSQA	T420444097543301	Elkhorn River near Oakdale, Nebr.	NE_Elkhorn	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	2.2009	DET
MSQA	T03611100	MASSAC CREEK AT METROPOLIS, IL	IL_Massac	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130709	144.049	DET
